,neg,neu,pos,compound,polarity,subjectivity,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
0,0.187,0.573,0.241,1.0,0.15693650332573378,0.5848317654994575,0.1132623426911907,0.09341723136495644,0.11500484027105518,0.040077444336882866,0.20058083252662148,0.14588576960309776,0.06447241045498547,0.06021297192642788,0.07531461761858664,0.09177153920619555
1,0.175,0.575,0.25,0.9988,0.1941973886328725,0.6119598054275478,0.11266375545851529,0.07598253275109171,0.1240174672489083,0.04192139737991266,0.20786026200873362,0.11790393013100436,0.062882096069869,0.056768558951965066,0.08646288209606987,0.11353711790393013
2,0.163,0.554,0.283,0.9995,0.1978030303030304,0.6389183501683502,0.10721442885771543,0.09318637274549098,0.12224448897795591,0.050100200400801605,0.22344689378757515,0.13527054108216433,0.05110220440881764,0.061122244488977955,0.07515030060120241,0.0811623246492986
3,0.21,0.557,0.233,0.9847,0.18578424338092847,0.5771724745481658,0.13060817547357925,0.10269192422731804,0.09970089730807577,0.04187437686939183,0.19641076769690927,0.15054835493519442,0.05982053838484546,0.06181455633100698,0.06580259222333001,0.09072781655034895
4,0.167,0.586,0.247,0.9987,0.16739707571340226,0.5778498542274053,0.10770750988142293,0.09387351778656126,0.12055335968379446,0.042490118577075096,0.20652173913043478,0.1383399209486166,0.06521739130434782,0.06225296442687747,0.07312252964426877,0.08992094861660078
5,0.189,0.597,0.214,0.9887,0.12957201285422137,0.6109333917616128,0.1261730969760167,0.10010427528675704,0.10948905109489052,0.03023983315954119,0.19395203336809178,0.15641293013555788,0.07194994786235662,0.058394160583941604,0.07612095933263817,0.07716371220020855
6,0.158,0.55,0.293,0.9997,0.20954102122776827,0.5928363453815265,0.10648596321393998,0.08906098741529525,0.12003872216844143,0.03484995159728945,0.22362052274927396,0.13068731848983542,0.05227492739593417,0.049370764762826716,0.09486931268151017,0.09874152952565343
7,0.17,0.565,0.264,0.9993,0.13851222651222644,0.5589202059202065,0.09486931268151017,0.0803484995159729,0.12391093901258471,0.05614714424007745,0.20813165537270087,0.12584704743465633,0.06389157792836399,0.049370764762826716,0.0909970958373669,0.10648596321393998
8,0.25,0.564,0.186,-0.9989,0.04903742603407033,0.5731704872308901,0.12860892388451445,0.10673665791776028,0.09448818897637795,0.03762029746281715,0.16185476815398075,0.18460192475940507,0.08223972003499562,0.06824146981627296,0.0542432195975503,0.08136482939632546
9,0.18,0.608,0.212,0.9925,0.10791140863226754,0.5052100047192076,0.11058150619637751,0.10486177311725453,0.11344137273593899,0.03336510962821735,0.18493803622497618,0.16682554814108674,0.06005719733079123,0.06863679694947569,0.06959008579599618,0.0877025738798856
10,0.202,0.582,0.216,0.9318,0.19279559884559877,0.6142191919191924,0.10583153347732181,0.08747300215982722,0.12203023758099352,0.032397408207343416,0.2041036717062635,0.1511879049676026,0.07451403887688984,0.06587473002159827,0.06803455723542116,0.08855291576673865
