Shared Hapaxes,Unique Hapaxes in hapax_all.csv,Unique Hapaxes in hapax_gummere.csv,Unique Hapaxes in hapax_hall.csv,Unique Hapaxes in hapax_slade.csv
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),set(),,
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,set(),
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),set(),,,set()
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),set(),
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,set(),,set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
set(),,,set(),set()
